provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
found in association with,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
parasitically found on/in,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
brood parasitized by,,hasParasite,http://purl.obolibrary.org/obo/RO_0002445
egg set includes egg of nest parasite,,hasParasite,http://purl.obolibrary.org/obo/RO_0002445
stomach contained,,eats,http://purl.obolibrary.org/obo/RO_0002470
host species,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
physically connected to,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Host species,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
found with host species,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
